Date,Year,Month,CPI_Index,Label,Monthly_Return
2020-04,2020,4,101.99,-1,-0.0068166325835037345
2020-05,2020,5,101.29,-1,-0.006863417982154951
2020-06,2020,6,101.44,0,0.0014808964359758203
2020-07,2020,7,101.59,0,0.0014787066246058078
2020-08,2020,8,101.74,0,0.0014765232798503725
2020-09,2020,9,101.89,0,0.0014743463731079487
2020-10,2020,10,102.04,0,0.0014721758759446146
2020-11,2020,11,102.19,0,0.001470011760094092
2020-12,2020,12,102.34,0,0.001467853997455748
2021-01,2021,1,102.44,0,0.0009771350400624712
2021-02,2021,2,102.54,0,0.0009761811792270425
2021-03,2021,3,102.64,0,0.0009752291788569512
2021-04,2021,4,102.74,0,0.0009742790335152129
2021-05,2021,5,102.84,0,0.0009733307377848277
2021-06,2021,6,103.14,0,0.0029171528588096685
2021-07,2021,7,103.44,0,0.002908667830133771
2021-08,2021,8,103.74,0,0.0029002320185613772
2021-09,2021,9,104.04,0,0.0028918449971082616
2021-10,2021,10,104.34,0,0.0028835063437140374
2021-11,2021,11,104.64,0,0.002875215641173101
2021-12,2021,12,104.94,0,0.0028669724770642446
2022-01,2022,1,105.32,0,0.0036211168286639506
2022-02,2022,2,105.81,1,0.004652487656665594
2022-03,2022,3,106.21,0,0.003780361024477763
2022-04,2022,4,106.66,0,0.004236889181809644
2022-05,2022,5,107.13,0,0.004406525407838036
2022-06,2022,6,107.48,0,0.0032670587137124674
2022-07,2022,7,108.07,1,0.005489393375511575
2022-08,2022,8,108.61,1,0.004996761358378787
2022-09,2022,9,109.19,1,0.005340208083970177
2022-10,2022,10,109.76,1,0.005220258265409061
2022-11,2022,11,110.24,0,0.004373177842565523
2022-12,2022,12,110.81,1,0.0051705370101597925
2023-01,2023,1,111.18,0,0.003339048822308399
2023-02,2023,2,111.57,0,0.0035078251484079725
2023-03,2023,3,111.93,0,0.0032266738370529957
2023-04,2023,4,112.34,0,0.00366300366300365
2023-05,2023,5,112.77,0,0.0038276660138862884
2023-06,2023,6,113.18,0,0.003635718719517733
2023-07,2023,7,113.69,1,0.004506096483477551
2023-08,2023,8,114.11,0,0.00369425631102116
2023-09,2023,9,114.52,0,0.003593024274822554
2023-10,2023,10,114.98,0,0.004016765630457719
2023-11,2023,11,115.36,0,0.003304922595233961
2023-12,2023,12,115.87,0,0.004420943134535449
2024-01,2024,1,116.13,0,0.002243894019159365
2024-02,2024,2,116.53,0,0.003444415740980089
2024-03,2024,3,116.89,0,0.0030893332189134703
2024-04,2024,4,117.17,0,0.0023954144922577747
2024-05,2024,5,117.42,0,0.0021336519586925284
2024-06,2024,6,117.8,0,0.003236245954692407
2024-07,2024,7,118.15,0,0.0029711375212224667
2024-08,2024,8,118.51,0,0.0030469741853575982
2024-09,2024,9,118.88,0,0.0031220994008942515
2024-10,2024,10,119.14,0,0.0021870794078062694
2024-11,2024,11,119.44,0,0.0025180459963067836
2024-12,2024,12,119.71,0,0.0022605492297387286
2025-01,2025,1,120.14,0,0.0035920140339154027
2025-02,2025,2,120.53,0,0.003246212751789601
2025-03,2025,3,120.88,0,0.0029038413672943797
2025-04,2025,4,121.19,0,0.002564526803441547
2025-05,2025,5,121.54,0,0.0028880270649394024
2025-06,2025,6,121.89,0,0.002879710383412837
2025-07,2025,7,122.3,0,0.003363688571663026
2025-08,2025,8,122.69,0,0.0031888798037611465
2025-09,2025,9,123.12,0,0.003504768114760859
2025-10,2025,10,123.49,0,0.0030051981806367145
2025-11,2025,11,106.69,-1,-0.13604340432423678
2025-12,2025,12,106.79,0,0.000937294966726121
2026-01,2026,1,107.62,1,0.0077722633205357106
2026-02,2026,2,108.56,1,0.0087344359784427
2026-03,2026,3,109.51,1,0.008750921149594637
2026-04,2026,4,110.43,1,0.00840105926399426
